,,Bee,Bee,Bee,Bee,NoBee,NoBee,NoBee,NoBee,macro avg,macro avg,macro avg,macro avg,weighted avg,weighted avg,weighted avg,weighted avg,features,features,features,features,features,features,features,features,features
,accuracy,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,f1-score,precision,recall,support,cqt,mfccs,flatness,spectral_centroid,spectral_rolloff,spectral_contrast,zero_crossing_rate,chroma,STFT
9,0.5631067961165048,0.4590747330960854,0.6025534565082001,0.3707843638221768,15656.0,0.6335779718219318,0.5455761601623766,0.7554292284108329,15656.0,0.5463263524590086,0.5740648083352884,0.5631067961165048,31312.0,0.5463263524590086,0.5740648083352884,0.5631067961165048,31312.0,False,False,False,False,False,False,False,True,True
10,0.5307549821154829,0.3903572465872786,0.5570159857904086,0.3004598875830352,15656.0,0.6185914907977053,0.5210565443652425,0.7610500766479305,15656.0,0.504474368692492,0.5390362650778255,0.5307549821154829,31312.0,0.504474368692492,0.5390362650778255,0.5307549821154829,31312.0,False,False,False,False,False,False,True,False,True
11,0.5840572304547778,0.5785658814392959,0.5863064008394544,0.5710270822687787,15656.0,0.5894073139974779,0.5819223107569721,0.5970873786407767,15656.0,0.5839865977183869,0.5841143557982132,0.5840572304547778,31312.0,0.5839865977183869,0.5841143557982132,0.5840572304547778,31312.0,False,False,False,False,False,False,True,True,False
12,0.5402721001532959,0.4121370523134724,0.5713962178688711,0.32230454777721,15656.0,0.6225450350053754,0.5280459054312531,0.7582396525293817,15656.0,0.5173410436594239,0.5497210616500621,0.5402721001532959,31312.0,0.5173410436594239,0.5497210616500621,0.5402721001532959,31312.0,False,False,False,False,False,True,False,False,True
13,0.6364333163004599,0.6172673480365789,0.651618398637138,0.586356668369954,15656.0,0.6537712895377128,0.62401300510915,0.6865099642309658,15656.0,0.6355193187871458,0.6378157018731441,0.6364333163004599,31312.0,0.6355193187871458,0.637815701873144,0.6364333163004599,31312.0,False,False,False,False,False,True,False,True,False
14,0.6284810935104752,0.6042254958663628,0.6464293513867657,0.567194685743485,15656.0,0.6499353013752219,0.614452347083926,0.6897675012774656,15656.0,0.6270803986207923,0.6304408492353459,0.6284810935104752,31312.0,0.6270803986207923,0.6304408492353458,0.6284810935104752,31312.0,False,False,False,False,False,True,True,False,False
15,0.5312979049565661,0.3921471172962226,0.5577285579641847,0.3023760858456821,15656.0,0.6186070686070687,0.5214686295127936,0.7602197240674502,15656.0,0.5053770929516457,0.5395985937384892,0.5312979049565661,31312.0,0.5053770929516457,0.5395985937384892,0.5312979049565661,31312.0,False,False,False,False,True,False,False,False,True
16,0.6090955544200306,0.6198049325961359,0.6032773007618817,0.6372636688809402,15656.0,0.5977653631284917,0.615608501421416,0.5809274399591211,15656.0,0.6087851478623139,0.6094429010916489,0.6090955544200307,31312.0,0.6087851478623139,0.6094429010916489,0.6090955544200306,31312.0,False,False,False,False,True,False,False,True,False
17,0.5657894736842105,0.5804998457266275,0.5614778560343798,0.600855901890649,15656.0,0.550009929171907,0.5707514768512159,0.530723045477772,15656.0,0.5652548874492673,0.5661146664427978,0.5657894736842105,31312.0,0.5652548874492672,0.5661146664427978,0.5657894736842105,31312.0,False,False,False,False,True,False,True,False,False
18,0.621199540112417,0.6098740255895799,0.6286702380145114,0.5921691364333163,15656.0,0.631886037056578,0.6145487473588892,0.6502299437915177,15656.0,0.6208800313230789,0.6216094926867003,0.621199540112417,31312.0,0.6208800313230789,0.6216094926867002,0.621199540112417,31312.0,False,False,False,False,True,True,False,False,False
